Case Number,Date,Year,Type,Country,Area,Location,Activity,Sex,Age,Injury,Fatal (Y/N),Time,Species,Investigator or Source
1978.11.26,26-Nov-78,1978,Unprovoked,USA,Hawaii,"Ewa, O'ahu",Surfing,M,,Left arm bitten,N,,2.4 m [8'] shark,"Star-Phoenix, 11/29/1978"
1978.11.23,23-Nov-78,1978,Unprovoked,USA,Florida,"Jupiter, Palm Beach County",Surfing,M,17,Hand lacerated,N,,,"New York Times, 11/26/1978, p.24"
1978.10.21,21-Oct-78,1978,Invalid,SOUTH AFRICA,KwaZulu-Natal,"Fishing camp, St. Lucia Estuary",Fishing,M,,Scavenged or FATAL (may have involved foul play),Y,Dusk,"Tiger shark, 3m ","Natal Parks Board, J. Daniel; W. Pople, G. Charter, GSAF"
1978.09.27,27-Sep-78,1978,Unprovoked,SOUTH AFRICA,Western Cape Province,"Miller's Point, False Bay",Spearfishing,M,27,"No injury, shark took his catch, then towed & pushed diver through the water ",N,16h00,"White shark, 3.7 m [12'] ","E. Lombard, M. Levine, GSAF"
1978.08.05,05-Aug-78,1978,Unprovoked,USA,California,"Pajaro Dunes, Santa Cruz County",Wading,M,,Punctures on leg (minor injury),N,12h45,"2 m [6'9""] shark","D. Miller & R. Collier, R. Collier, p.75      "
1978.08.01.R,Reported 01-Aug-1978,1978,Unprovoked,USA,Florida,Florida Straits,Floating on inner tube raft,M,27,Minor injury to ankle,N,,,"Miami News, 8/1/1978"
1978.07.27,27-Jul-78,1978,Sea Disaster,USA,South Carolina,,"Explosion destroyed 28' boat, survivors in the water ",M,39,"No injury, his foot was bumped by a shark biting the body of a passenger that had drowned.",N,,,"NY Times, 7/28/1978, p.6, col.6"
1978.07.19,19-Jul-78,1978,Provoked,USA,California,"Newport Beach, Orange County",Fishing,M,27,Laceration to leg by hooked shark  PROVOKED INCIDENT,N,,,"Fresno Bee, 7/19/1978"
1978.06.21.b,21-Jun-78,1978,Unprovoked,USA,Florida,"South of Neptune Beach, Duval County",Surfing,M,20,Foot bitten,N,,,"Bryan Times, 6/23/1978"
1978.06.21.a,21-Jun-78,1978,Unprovoked,USA,Florida,"Neptune Beach, Duval County",Surfing,M,17,Foot nipped,N,,,"Bryan Times, 6/23/1978"
1978.03.05,05-Mar-78,1978,Boat,SOUTH AFRICA,Eastern Cape Province,"Gulu Deep, East London",,,,"No injury to occupants; shark rammed boat 4 times, bit engine & cracked the hull",N,,,GSAF
1978.02.28,28-Feb-78,1978,Unprovoked,SOUTH AFRICA,Western Cape Province,"Seal Island, False Bay",Fishing for mackerel,,,"Shark jumped in boat, but no injury to occupants",N,03h00,270 kg shark,"Eastern Province Herald, 3/2/1978"
1978.02.19,19-Feb-78,1978,Unprovoked,SOUTH AFRICA,Western Cape Province,"Miller's Point, False Bay",Diving,M,,"No injury, rammed by shark",N,,White shark,"Natal Mercury, 2/21/1978"
1978.01.17,07-Jan-78,1978,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Glenashley,Surfing,M,17,"Left leg, ankle & foot bitten",N,12h45,Thought to involve a blacktip shark,"W. Pople, G. Charter, B. Davis, NSB"
1978.01.06,06-Jan-78,1978,Invalid,SOUTH AFRICA,KwaZulu-Natal,Cape Vidal,,M,,"Human head recovered from shark�s gut, probable drowning / scavenging",Y,,"Tiger shark, 3 m [10']k","W. Pople, NSB"
1978.00.00.b,1978,1978,Unprovoked,USA,Florida,"Cocoa Beach, Brevard County",Surfing,F,,Foot bitten,N,,,"The Beachside Resident, 9/19/2010"
1977.12.31,31-Dec-77,1977,Sea Disaster,USA,Hawaii,2 miles off Keahole Airport,"Swimming, after single-engine aircraft went down in the sea",M,49,Feet lacerated,N,Night,,"NY Times, 1/3/1978, p.14, col.1"
1977.12.19.b,19-Dec-77,1977,Unprovoked,USA,Florida,"Hobe Sound, Palm Beach County",Surfing,M,27,Laceration to right hand,N,,,"Sarasota Herald-Tribune, 12/20/1977"
1977.12.19.a,19-Dec-77,1977,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Qolera River,Surfing,M,18,"Both legs bitten, 2 days later gangrene necessitated surgical amputation of left leg at mid-thigh",N,10h00,"Tiger shark, 3 m [10']","K. Pearce, M. Levine, GSAF;  W. Pople, B. Davis, G. Charter, NSB; T. Wallett, p.42"
1977.12.00,Dec-77,1977,Boat,SOUTH AFRICA,Western Cape Province,"Macassar, False Bay",Fishing for bottom fish,,,No injury to occupant: shark bit boat's port chine,N,,3 m [10'] white shark (Tooth  recovered from boat),"T. Wallett, p.38"
1977.11.12,12-Nov-77,1977,Provoked,SOUTH AFRICA,Western Cape Province,Klein River Lagoon,Standing,M,,Shark lacerated his hand when he grabbed it by the tail PROVOKED INCIDENT,N,,1.5 to 2 m [5' to 6.75'] shark,"Times of Hermanus, 11/16/1977"
1977.10.30,30-Oct-77,1977,Unprovoked,SOUTH AFRICA,Western Cape Province,"Bluegums Rock, Partridge Point",Spearfishing,M,25,"No injury, shark bit speargun & pushed diver through the water",N,16h00,"White shark, 5 m [16.5'] ","A. Hartman; M. Levine, GSAF"
1977.08.31,31-Aug-77,1977,Unprovoked,AUSTRALIA,South Australia,"Cactus Beach, near Ceduna",Surfing,M,17,"Board rammed &  bitten, left thigh lacerated",N,16h00,White shark,"The Age, 9/2/1977"
1977.08.23,23-Aug-77,1977,Unprovoked,AUSTRALIA,Queensland,"Buddina Beach, south of Noosa",Floating on an inflatable raft,M,25,"FATAL, left arm severed, legs bitten ",Y,,,"The Age, 9/1/1977; A. Sharpe, p.104"
1977.08.19,19-Aug-77,1977,Boat,SOUTH AFRICA,Western Cape Province,Off Macassar Beach,Fishing,M,,"Shark leapt into boat, pinning Mamacos beneath and fracturing his pelvis, then trashed the boat rendering it inoperable",N,13h30,White shark,"T. Wallett, pp.33-34"
1977.08.14,14-Aug-77,1977,Unprovoked,USA,California,"McClure Beach, near Tomales Point, Marin County",Free diving for abalone (surfacing),M,20,Leg lacerated,N,11h45,"White shark, 5.5 m to 6 m [18' to 20']  ","D. Miller & R. Collier, R. Collier, pp.73-74; J. McCosker & R.N. Lea "
1977.08.05,05-Aug-77,1977,Invalid,USA,Florida,"St. Petersburg, Pinellas County",Wading,M,17,Lacerations to hip and leg,N,12h00,Shark involvement not confirmed,"St. Petersburg Independent, 8/8/1977"
1977.07.02,02-Jul-77,1977,Sea Disaster,USA,California,"Off San Diego, San Diego County",40' fishing boat sank,M,21,Laceration to right hand,N,Night,,"The Times (San Mateo), 7/5/1977"
1977.06.26,26-Jun-77,1977,Provoked,USA,Florida,"12 miles northeast of Mayport,  Duval County",Spearfishing / Scuba diving,M,27,"PROVOKED INCIDENT    Diver poked shark with spear, then shark bit his right foot",N,Late afternoon,"Bull shark, 8","News Tribune, 6/28/1977 & 7/14/1977 "
1977.05.26,26-May-77,1977,Boat,SOUTH AFRICA,Western Cape Province,13 km off Knysna ,Fishing for yellowtail,M,,Lombard's thigh was lacerated by shark that leapt into boat ,N,,"Mako shark, 2.3 m, 150-kg  ","T. Wallett, pp.32-33"
1977.05.16,16-May-77,1977,Invalid,AUSTRALIA,Queensland,Southport,,M,,"Missing, believed taken by a shark",N,,,"Courier-Mail, 10/2/1992, p.2"
1977.04.26,26-Apr-77,1977,Unprovoked,AUSTRALIA,Queensland,Tallebudgera,,M,,Survived,N,,,"R. McKenzie, Sunday Mail, 9/6/1987, p.11"
1977.04.21,21-Apr-77,1977,Unprovoked,USA,Hawaii,"Ka'anapali, Maui",Swimming,M,,Arm bitten,N,,1.2 m [4'] shark,"J. Borg, p.74; L. Taylor (1993), pp.104-105"
1977.03.17,17-Mar-77,1977,Unprovoked,SOUTH AFRICA,Western Cape Province,"Lappiesbaai Beach, Stilbaai",Swimming,M,31,Right foot bitten,N,17h00,,"R.J. Lund, M. Levine, GSAF; T. Wallett, pp.41-42"
1977.03.13.c,13-Mar-77,1977,Sea Disaster,AUSTRALIA,Queensland,Near Moreton Island in Moreton Bay,"Their 9 m launch was run down by a 25,000-ton Japanese freighter  on the night of 3-11-1977 & they drifted, clinging to an icebox for 2 days",M,32,"His feet were bitten by sharks, but he was rescued by a charter boat that arrived on the scene just an hour and 15 minutes after the sharks first appeared, too late to save the lives of Hayes and Beaver",N,,,"Sunday Mail (QLD), 10/11/1992, p.109; A. Sharpe, pp.103-104"
1977.03.13.b,13-Mar-77,1977,Sea Disaster,AUSTRALIA,Queensland,Near Moreton Island in Moreton Bay,"Their 9 m launch was run down by a 25,000-ton Japanese freighter  on the night of 3-11-1977 & they drifted, clinging to an icebox for 2 days",M,74,FATAL,Y,,,"Sunday Mail (QLD), 10/11/1992, p.109; A. Sharpe, pp.103-104"
1977.03.13.a,13-Mar-77,1977,Sea Disaster,AUSTRALIA,Queensland,Near Moreton Island in Moreton Bay,"Their 9 m launch was run down by a 25,000-ton Japanese freighter  on the night of 3-11-1977 & they drifted, clinging to an icebox for 2 days",M,45,FATAL,Y,,,"Sunday Mail (QLD), 10/11/1992, p.109; A. Sharpe, pp.103-104"
1977.02.26,26-Feb-77,1977,Unprovoked,AUSTRALIA,New South Wales,"Kingscliffe Beach, south of Tweed Heads","Pushed surfmat of a young girl out of the shark's path, drawing shark's attention to his own board",M,24,"Left hand, arm & leg lacerated, & shark bit chunk out of his surfboard",N,,4 m [13'] shark,"Ruston Daily Leader, 2/28/1977; A. Sharpe, p.86"
1976.12.29,29-Dec-76,1976,Unprovoked,AUSTRALIA,Queensland,Caloundra,,M,,Survived,N,,,"R. McKenzie, Sunday Mail, 9/6/1987, p.11"
1976.12.18,18-Dec-76,1976,Unprovoked,USA,California,"San Miguel Island, Santa Barbara County",Hookah diving for abalone (submerged),M,29,Buttocks & hip bitten,N,09h00,"White shark, 5.5 m [18'] ","D. Miller & R. Collier, R. Collier, pp.72-73; J. McCosker & R.N. Lea"
1976.11.27,27-Nov-76,1976,Unprovoked,SOUTH AFRICA,Western Cape Province,Clifton,"Thrashing the water / imitating the shark victim from ""Jaws""",M,19,Torso bitten,N,16h05,"White shark, 3 m [10'] k","G. Spence, M. Levine,  P. Snydercombe, P. Schwartz,  Rousseau,  J. Wallace, R.M. Strover; T. Wallett, pp.42-47"
1976.11.26,26-Nov-76,1976,Invalid,AUSTRALIA,Queensland,Southport Bar,,,,"Missing, believed taken by a shark, but not confirmed",Y,,,"Courier-Mail, 10/2/1992, p.2"
1976.11.25,25-Nov-76,1976,Unprovoked,USA,Florida,"Delray Beach, Palm Beach County",Surfing,M,19,"Right arm severed 1"" below elbow with extensive tissue loss 3"" above elbow",N,10h55,2.1 m [7'] lemon shark or bull shark,"A. Brenneka; E. Pace; NY Times, 11/26/1976, I, p.18, col.6"
1976.11.23,23-Nov-76,1976,Invalid,SOUTH AFRICA,KwaZulu-Natal,Warner Beach,Swimming,M,17,Laceration to foot,N,,,Natal Mercury
1976.11.06,Nov-76,1976,Provoked,SOUTH AFRICA,Western Cape Province,Macassar,Fishing for white shark,,,"No injury to occupants. Hooked shark bit boat's transom, PROVOKED INCIDENT",N,,"White shark, 4.8 m ","T. Wallett, p.37-38"
1976.10.27,27-Oct-76,1976,Boat,SOUTH AFRICA,Western Cape Province,Gordon�s Bay,Boat,,,"No injury to occupants, shark leapt on bow of boat",N,,White shark,"T. Wallett, p.32"
1976.10.18,18-Oct-76,1976,Unprovoked,USA,California,"Moonstone Beach, Humboldt County",Surfing,M,25,Leg bitten ,N,14h30,"White shark, 3 m to 4 m [10' to 13'] ","D. Miller & R. Collier, R. Collier, pp.70-71; J. McCosker & R.N. Lea"
1976.10.06,06-Oct-76,1976,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Cape St. Francis,Surfing,M,20,Left thigh lacerated,N,11h00,"White shark, 3.5 m [11.5'], species identity confirmed by tooth fragment","M. Levine, GSAF; J. Wallace,ORI; T. Wallett, p.40-41"
1976.09.19,19-Sep-76,1976,Unprovoked,AUSTRALIA,South Australia,"Point Lowly, north of Whyalla","Skindiving,",M,27,"Right leg bitten below the knee, left ankle & foot lacerated",N,,2.7 m  [9'] shark,"A. Sharpe, p.125"
1976.09.12.b,12-Sep-76,1976,Unprovoked,USA,Florida,"Jacksonville, Duval County",Swimming,M,16,FATAL,Y,,,"Washington Post, 9/24/1976"
1976.09.12.a,12-Sep-76,1976,Unprovoked,USA,Florida,"Jacksonville, Duval County",Swimming,M,,FATAL,Y,,,"Washington Post, 9/24/1976"
1976.09.06,06-Sep-76,1976,Unprovoked,USA,Florida,"Sebastian, Indian River County",Surfing,M,15,Laceration to left lower leg,N,14h00,"Tiger shark, 6' ",P. Ferrer
1976.07.24,24-Jul-76,1976,Unprovoked,USA,Florida,St. Lucie County,Spearfishing,M,24,Lacerations to forearms,N,10h30,,"News-Tribune, 7/27/1976"
1976.07.16,16-Jul-76,1976,Unprovoked,USA,Hawaii,"Maha'ulepu, Koloa, Kaua'i",Scuba diving,M,18,"FATAL, disappeared while diving, lower portion of body recovered",Y,,,"The Argus, 7/19/1976; J. Borg, p.74; L. Taylor (1993), pp.102-103"
1976.07.12,12-Jul-76,1976,Unprovoked,USA,Florida,St. Lucie County,Spearfishing,M,23,"""lost part of a finger""",N,,6' to 8' shark,"News-Tribune, 7/27/1976"
1976.06.23,23-Jun-76,1976,Unprovoked,USA,Florida,"St. Andrews State Park, Bay County",Skindiving,M,17,Lacerations to right arm,N,Night,12' to 14' shark,"Albuquerque Journal, 6/25/1976�"
1976.06.10,10-Jun-76,1976,Unprovoked,USA,Hawaii,"Kama'ole Beach, Park No. 1, Kihei, Maui",Swimming,M,,Leg & foot bitten,N,,0.9 m to 1.5 m [3' to 5'] shark,"J. Borg, p.74; L. Taylor (1993), pp.102-103"
1976.06.01,01-Jun-76,1976,Boat,AUSTRALIA,Queensland,Off Stradbroke Island,Sitting in bow of her father's 5 m boat,F,,"Shark jumped in boat, hitting her in the face & knocking her unconscious",N,,1.5 m [5'] shark,"A. Sharpe, p.103"
1976.05.02,02-May-76,1976,Boat,SOUTH AFRICA,Western Cape Province,40 km off Cape Point,Competing in a light tackle game fishing,,,"Shark following hooked fish, rammed & holed boat",N,,"Mako shark, 180-kg [397-lb]","The Argus, 5/3/1976"
1976.03.12.b,12-Mar-76,1976,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Standing,M,21 or 26,Lacerations to left leg,N,14h30,,Winnipeg Free Press. 3/17/1976
1976.03.12.a,12-Mar-76,1976,Boat,SOUTH AFRICA,Western Cape Province,Robberg Point,Fishing,,,"No injury to occupants, shark buckled prop shaft",N,,Whale shark,T. Wallett; GSAF
1976.03.09,09-Mar-76,1976,Boat,SOUTH AFRICA,Western Cape Province,"2 km from Macassar, False Bay",,,,Shark breached hull of boat,N,,White shark named �Spotty�,"T. Wallett, p.31"
1976.03.02,02-Mar-76,1976,Boat,SOUTH AFRICA,Western Cape Province,"2 km from Macassar, False Bay",,,,"Shark leapt into boat, hitting Fanie Schoeman on his back before sliding into the sea",N,,White shark named �Spotty�,"T. Wallett, pp.30-31"
1976.02.03,03-Feb-76,1976,Boat,SOUTH AFRICA,Western Cape Province,False Bay,Shark watching,,,"No injury to occupants, shark rammed bow, driving its head into the hull",N,,2.5 m [8.25'] white shark,"T. Wallett, p.30"
1976.01.13,13-Jan-76,1976,Provoked,SOUTH AFRICA,Western Cape Province,Hartenbos,Shark fishing,,,"No injury to occupants, After shark was harpooned & shot, it holed the boat PROVOKED INCIDENT",N,,4 m [13'] shark,T. Wallett
1976.01.12,12-Jan-76,1976,Unprovoked,AUSTRALIA,Queensland,Harvey Bay,,F,,Survived,N,,,"R. McKenzie, Coast Sun, 9/6/1987, p.11"
1976.01.11,11-Jan-76,1976,Provoked,SOUTH AFRICA,Western Cape Province,Kalk Bay,Fishing for snoek & yellowtail,,,"Hooked shark leapt onboard & into fish well, which it smashed PROVOKED INCIDENT",N,07h30,"White shark, 3 m [10'] "," T. Wallett, p.30"
1976.01.08,08-Jan-76,1976,Unprovoked,USA,Florida,"Off Fort Pierce, St Lucie County",Spearfishing / scuba diving,M,25,Puncture wounds to head & neck,N,,6' shark,"Naples Daily News, 1/9/1976"
1976.00.00.b,1976,1976,Unprovoked,USA,Hawaii,"Off Lahaina, Maui",Scuba diving,M,,"FATAL, lost consciousness at depth of 180'. Large sharks seen near partial remains of body",Y,,,"J. Borg, p.74; L. Taylor (1993), pp.104-105"
1975.12.29,29-Dec-75,1975,Boat,AUSTRALIA,South Australia,Glenelg,Attempting to drive shark away from the beach,,,"No injury, shark charged & rammed boat several times",N,,2.4 m [8'] shark,"A. Sharpe, p.125"
1975.12.06,06-Dec-75,1975,Unprovoked,USA,California,Farallon Islands,Scuba diving & spearfishing,M,27,Leg bitten,N,12h00,White shark,"D. Miller & R. Collier, R. Collier, pp.67-69; J. McCosker & R.N. Lea; NY Times, 12/7/1975, p.30, col.1"
1975.12.02,02-Dec-75,1975,Provoked,AUSTRALIA,New South Wales,"Porpoise Pool, Tweed Heads",Filming & feeding captive sharks,M,35,Tooth mark in left elbow PROVOKED INCIDENT,N,,"Grey nurse shark, 10' ","J. Green, p.36"
1975.11.19.b,19-Nov-75,1975,Unprovoked,AUSTRALIA,New South Wales,"Queenscliff, Sydney",Standing,M,20,Laceration to posterior thigh,N,,5' shark,"The Age, 11/20/1975"
1975.11.19.a,19-Nov-75,1975,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,"South Beach, Durban",Standing,M,33,Left foot lacerated,N,10h00,Juvenile dusky shark,"G. Charter, B. Davis,  NSB"
1975.11.07,07-Nov-75,1975,Unprovoked,AUSTRALIA,Queensland,Lookout Point,,M,,Puncture wounds in hand,N,,,"R. McKenzie, Sunday Mail, 3/27/1994, p.107"
1975.11.02,02-Nov-75,1975,Unprovoked,USA,Florida,"Crescent Beach, St. Johns County",Surfing,M,18,Foot bitten,N,,6' shark,"NY Times, 11/6/1975, p.8"
1975.10.12,12-Oct-75,1975,Unprovoked,AUSTRALIA,New South Wales,"Lennox Head, Ballina",Surfing,M,20,"Cracked jaw & broken tooth, shark took chunk out of surfboard",N,,Bronze whaler,"J. Green, p.36"
1975.10.04,04-Oct-75,1975,Invalid,USA,California,"Seal Beach, Orange County",Surfing,,,,UNKNOWN,,,Unconfirmed Report
1975.09.00,Sep-75,1975,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Richards Bay,Paddleskiing,M,21,Right foot & ankle lacerated,N,,1.2 m [4'] shark,"G. Charter, NSB"
1975.08.17,17-Aug-75,1975,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Cape St. Francis,Surfing,M,19,Left leg & surfboard bitten,N,13h30,"White shark, 2.4 m [8']","D. Robertson, M. Levine, GSAF;  J. Wallace, ORI; T. Wallett, p.40"
1975.08.12,12-Aug-75,1975,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Floating on a small orange raft ,M,20,"Calf bitten, leg surgically amputated below the knee  Note: by late August, 3 more bathers had been bitten by sharks at Daytona Beach",N,12h00,1.5 m [5'] shark,"NY Times, 8/17/1975, p.27"
1975.08.09,09-Aug-75,1975,Unprovoked,USA,California,"Usal Creek, Bear Harbor, Mendocino County",Free diving for abalone,M,44,"Shoulder, arm & hand lacerated",N,13h30,White shark,"D. Miller & R. Collier, R. Collier, pp.65-67; J. McCosker & R.N. Lea"
1975.07.26.b,26-Jul-1975.b,1975,Unprovoked,USA,Florida,"Off Hutchinson Island, St Lucie County",Free diving,M,24,Forearms lacerated,N,,,"News-Tribune, 7/28/1975"
1975.07.26.a,26-Jul-75,1975,Unprovoked,AUSTRALIA,Queensland,Maroochydore,Surfing,M,21,Buttocks & leg bitten,N,,12' shark,"Bucks County Courier Times, 7/28/1975; Sunday Mail (QLD), 1//7/1996,p.4; J. Green, p.36"
1975.07.23,23-Jul-75,1975,Unprovoked,USA,California,"Perch Rock, Point Conception, Santa Barbara County",Scuba diving for abalone (at surface),M,23,Legs bitten,N,14h30,"White shark, 5.8 m [19'] ","D. Miller & R. Collier; R. Collier, pp.64-65; G. Ambrose, pp.103 & 112      "
1975.07.19,19-Jul-75,1975,Unprovoked,USA,California,"Point Conception, Santa Barbara County",Hookah diving for abalone,M,34,"No injury, swim fin torn",N,13h30,"White shark, 5m to 6m",R. Collier
1975.07.15,15-Jul-75,1975,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Swimming,F,14,Arm lacerated,N,Mid-morning,1.2 m [4'] shark,"E. Ritter, GSAF"
1975.07.05,05-Jul-75,1975,Provoked,AUSTRALIA,Western Australia,"15 km north of Lancelin, north of Perth",Spearfishing,M,29,Speared shark bit his arm  between elbow and shoulder PROVOKED INCIDENT,N,,2.4 m [8'] whaler shark,"Washington Post, 7/7/1975"
1975.07.04,04-Jul-75,1975,Unprovoked,USA,Florida,"Indiatlantic, Brevard County",Surfing,M,16,"Foot bitten, tendons damaged",N,,,"NY Times, 7/6/1975, p.5"
1975.06.23.b,23-Jun-75,1975,Unprovoked,USA,South Carolina,"Windy Hill, near Myrtle Beach, Horry County",Swimming ,M,18,Lacerations to right foot,N,16h30,4' shark,"Morning Herald (Uniontown, PA), 7/2/1975"
1975.06.23.a,23-Jun-75,1975,Unprovoked,USA,South Carolina,"North Myrtle Beach, Horry County",Standing,F,15,Hand & wrist bitten,N,14h30,,"Morning Herald (Uniontown, PA), 6/26/1975"
1975.06.02.R,Reported 02-Jun-1975,1975,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Surfing,M,20,"No injury, board bumped",N,,,"Sarasota Herald Tribune, 6/2/1975"
1975.06.00.c,Jun-75,1975,Provoked,USA,Florida," New Smyrna Beach, Volusia County",,M,,Slightly injured when he stepped on a shark PROVOKED INCIDENT,N,,,undated press clipping - see 1975.06.00.b
1975.05.25,25-May-75,1975,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,17,Right foot bitten,N,10h00,,"Sumter Daily Item, 7/9/1975"
1975.05.20,20-May-75,1975,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Bathing,F,10,Leg bitten,N,,,"Pacifc Stars and Stripes, 6/3/1975"
1975.04.18,18-Apr-75,1975,Invalid,SOUTH AFRICA,KwaZulu-Natal,Durban,,M,,Probable drowning / scavenging,Y,,,"B. Davis, NSB"
1975.04.05,05-Apr-75,1975,Unprovoked,SOUTH AFRICA,Western Cape Province,Millers Point,Spearfishing Competition,M,,"No injury, rammed by shark",N,Afternoon,"White shark, 600-kg [1323-lb]","Cape Times, 4/7/1975"
1975.03.29,29-Mar-75,1975,Invalid,SOUTH AFRICA,KwaZulu-Natal,Tongaat,Swimming,M,,Probable drowning / scavenging,Y,,White shark,"B. Davis, Natal Sharks Board"
1975.03.18,18-Mar-75,1975,Unprovoked,AUSTRALIA,Queensland,Mornington Island,,F,,Hand bitten,N,,,"R. McKenzie, Sunday Mail, 9/6/1987, p.11"
1975.03.16,16-Mar-75,1975,Unprovoked,USA,Florida,"Clearwater Beach, Pinellas County",Floating in inner tube,M,14,Left leg & foot bitten,N,,10' shark,"News Tribune, 5/17/1975"
1975.03.13,13-Mar-75,1975,Provoked,AUSTRALIA,Queensland,Southport Aquarium,Diving & force-feeding the shark,,18,Laceration to thigh by captive shark PROVOKED INCIDENT,N,,"Bronze whaler shark, 6'","The Age, 3/14/1975"
1975.03.09,09-Mar-75,1975,Provoked,SOUTH AFRICA,Western Cape Province,"Boggomsbaai, Mossel Bay",Attempting to drag hooked shark ashore by its tail,M,,Left leg bitten  PROVOKED INCIDENT,N,,1.5 m [5']  shark,"M. Levine, GSAF"
1975.02.23,23-Feb-75,1975,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,"Inyoni Rocks, Amanzimtoti",Surfing,M,16,Foot severed,N,10h55,1.5 m [5'] shark,"S. Jooste; B.R. Jones, M. Levine, GSAF; T. Wallett, pp.22-24"
1975.02.14.R,Reported 14-Feb-1975,1975,Boat,SOUTH AFRICA,Western Cape Province,Plettenberg Bay,,,,Shark bit rudder & hull,N,,"Mako shark, 3 m [10'] ",GSAF
1975.02.10,10-Feb-75,1975,Unprovoked,AUSTRALIA,South Australia,(Point Sinclair) Penong,Swimming underwater from crayfish cage to a fishing bait,M,12,Right leg  severed FATAL,Y,18h00,"White shark, 3 m [10'] "," A. Sharpe, pp.124-125; Sydney Morning Herald, 2/3/2001 ed."
